time,isFallen,recoveryState,recoveryTimer,up_z,isProne,r_hip_tgt,r_knee_tgt,r_ankle_tgt,r_arm_tgt
0.362,1,0,0.229,-0.468332,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.23,-0.468328,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.231,-0.468317,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.232,-0.468298,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.233,-0.468272,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.234,-0.468238,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.235,-0.468196,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.236,-0.468147,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.237,-0.468091,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.238,-0.468027,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.239,-0.467956,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.24,-0.467877,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.241,-0.46779,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.242,-0.467696,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.243,-0.467595,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.244,-0.467486,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.245,-0.467369,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.246,-0.467245,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.247,-0.467113,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.248,-0.466974,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.249,-0.466827,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.25,-0.466673,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.251,-0.466511,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.252,-0.466342,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.253,-0.466165,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.254,-0.46598,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.255,-0.465788,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.256,-0.465589,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.257,-0.465382,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.258,-0.465167,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.259,-0.464945,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.26,-0.464715,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.261,-0.464478,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.262,-0.464233,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.263,-0.46398,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.264,-0.46372,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.265,-0.463452,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.266,-0.463177,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.267,-0.462894,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.268,-0.462603,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.269,-0.462305,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.27,-0.461999,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.271,-0.461686,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.272,-0.461365,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.273,-0.461037,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.274,-0.4607,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.275,-0.460356,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.276,-0.460005,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.277,-0.459646,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.278,-0.459279,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.279,-0.458905,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.28,-0.458522,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.281,-0.458133,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.282,-0.457735,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.283,-0.45733,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.284,-0.456917,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.285,-0.456497,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.286,-0.456069,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.287,-0.455633,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.288,-0.455189,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.289,-0.454738,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.29,-0.454279,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.291,-0.453812,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.292,-0.453337,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.293,-0.452855,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.294,-0.452365,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.295,-0.451867,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.296,-0.451362,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.297,-0.450849,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.298,-0.450328,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.299,-0.449799,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.3,-0.449262,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.301,-0.448718,0,-0.04,0.04,0,-0.0984229
